,Province/State,Country/Region,Last Update,Latitude,Longitude,Confirmed,Recovered,Deaths,Active,County,State/County FIPS Code,Combined Key,Incident Rate,People Tested,Shape
0,South Carolina,US,3/25/2020 23:33,34.22333378,-82.46170658,3,0,0,0,Abbeville,45001.0,"Abbeville, South Carolina, US",<Null>,<Null>,Point
1,Louisiana,US,3/25/2020 23:33,30.2950649,-92.41419698,2,0,0,0,Acadia,22001.0,"Acadia, Louisiana, US",<Null>,<Null>,Point
2,Virginia,US,3/25/2020 23:33,37.76707161,-75.63234615,2,0,0,0,Accomack,51001.0,"Accomack, Virginia, US",<Null>,<Null>,Point
3,Idaho,US,3/25/2020 23:33,43.4526575,-116.24155159999998,24,0,0,0,Ada,16001.0,"Ada, Idaho, US",<Null>,<Null>,Point
4,Iowa,US,3/25/2020 23:33,41.33075609,-94.47105874,1,0,0,0,Adair,19001.0,"Adair, Iowa, US",<Null>,<Null>,Point
5,Kentucky,US,3/25/2020 23:33,37.10459774,-85.28129668,0,0,0,0,Adair,21001.0,"Adair, Kentucky, US",<Null>,<Null>,Point
6,Missouri,US,3/25/2020 23:33,40.19058551,-92.60078167,1,0,0,0,Adair,29001.0,"Adair, Missouri, US",<Null>,<Null>,Point
7,Oklahoma,US,3/25/2020 23:33,35.88494195,-94.65859267,2,0,0,0,Adair,40001.0,"Adair, Oklahoma, US",<Null>,<Null>,Point
8,Colorado,US,3/25/2020 23:33,39.87432092,-104.3362578,27,0,0,0,Adams,8001.0,"Adams, Colorado, US",<Null>,<Null>,Point
9,Idaho,US,3/25/2020 23:33,44.89333571,-116.4545247,0,0,0,0,Adams,16003.0,"Adams, Idaho, US",<Null>,<Null>,Point
10,Illinois,US,3/25/2020 23:33,39.98815591,-91.18786813,1,0,0,0,Adams,17001.0,"Adams, Illinois, US",<Null>,<Null>,Point
11,Indiana,US,3/25/2020 23:33,40.7457653,-84.93671406,1,0,0,0,Adams,18001.0,"Adams, Indiana, US",<Null>,<Null>,Point
12,Iowa,US,3/25/2020 23:33,41.02903567,-94.69932645,0,0,0,0,Adams,19003.0,"Adams, Iowa, US",<Null>,<Null>,Point
13,Mississippi,US,3/25/2020 23:33,31.47669768,-91.35326037,2,0,0,0,Adams,28001.0,"Adams, Mississippi, US",<Null>,<Null>,Point
14,Nebraska,US,3/25/2020 23:33,40.52449420000001,-98.50117804,1,0,0,0,Adams,31001.0,"Adams, Nebraska, US",<Null>,<Null>,Point
15,North Dakota,US,3/25/2020 23:33,46.09686891,-102.5285397,0,0,0,0,Adams,38001.0,"Adams, North Dakota, US",<Null>,<Null>,Point
16,Ohio,US,3/25/2020 23:33,38.84541072,-83.4718964,0,0,0,0,Adams,39001.0,"Adams, Ohio, US",<Null>,<Null>,Point
17,Pennsylvania,US,3/25/2020 23:33,39.87140411,-77.21610347,6,0,0,0,Adams,42001.0,"Adams, Pennsylvania, US",<Null>,<Null>,Point
18,Washington,US,3/25/2020 23:33,46.98299757,-118.5601734,1,0,0,0,Adams,53001.0,"Adams, Washington, US",<Null>,<Null>,Point
19,Wisconsin,US,3/25/2020 23:33,43.96974651,-89.76782777,0,0,0,0,Adams,55001.0,"Adams, Wisconsin, US",<Null>,<Null>,Point
20,Vermont,US,3/25/2020 23:33,44.03217337,-73.14130877,9,0,0,0,Addison,50001.0,"Addison, Vermont, US",<Null>,<Null>,Point
21,South Carolina,US,3/25/2020 23:33,33.54338026,-81.63645384,2,0,0,0,Aiken,45003.0,"Aiken, South Carolina, US",<Null>,<Null>,Point
22,Minnesota,US,3/25/2020 23:33,46.60962049,-93.4116826,0,0,0,0,Aitkin,27001.0,"Aitkin, Minnesota, US",<Null>,<Null>,Point
23,Florida,US,3/25/2020 23:33,29.67866525,-82.35928158,45,0,0,0,Alachua,12001.0,"Alachua, Florida, US",<Null>,<Null>,Point
24,North Carolina,US,3/25/2020 23:33,36.0434701,-79.39976137,3,0,0,0,Alamance,37001.0,"Alamance, North Carolina, US",<Null>,<Null>,Point
25,California,US,3/25/2020 23:33,37.64629437,-121.8929271,135,0,2,0,Alameda,6001.0,"Alameda, California, US",<Null>,<Null>,Point
