MSA,msa.or.nonMSA,theme1,theme2,theme3,theme4,theme5,theme6,theme7,Total_population,n_counties,FIPS,ccvi
"Abilene, TX",msa,0.523255814,0.7279069767,0.7953488372,0.6023255814,0.5441860465,0.7,0.2348837209,170009,3,10180,0.6976744186
"Akron, OH",msa,0.2744186047,0.3581395349,0.1534883721,0.5441860465,0.3162790698,0.9302325581,0.9441860465,704454,2,10420,0.4651162791
ALABAMA (excluding all MSAs),nonMSA,0.8488372093,0.2744186047,0.7279069767,0.9186046512,0.888372093,0.8069767442,0.1209302326,1185808,37,NA,0.8372093023
ALASKA (excluding all MSAs),nonMSA,0.7674418605,0.5395348837,0.8906976744,0.4139534884,0.1674418605,0.02790697674,0,239287,26,NA,0.2837209302
"Albany, GA",msa,0.9581395349,0.4023255814,0.8093023256,0.7046511628,0.9,0.3558139535,0.3046511628,149912,4,10500,0.7930232558
"Albany-Lebanon, OR",msa,0.4441860465,0.3348837209,0.6,0.4813953488,0.3651162791,0.4348837209,0.1302325581,122870,1,10540,0.276744186
"Albany-Schenectady-Troy, NY",msa,0.1023255814,0.323255814,0.1651162791,0.5,0.6674418605,0.5,0.7511627907,880481,5,10580,0.3395348837
"Albuquerque, NM",msa,0.7534883721,0.9023255814,0.488372093,0.1906976744,0.3534883721,0.009302325581,0.5,910012,4,10740,0.388372093
"Alexandria, LA",msa,0.7976744186,0.5372093023,0.9813953488,0.9511627907,0.3255813953,0.723255814,0.2162790698,153894,2,10780,0.8209302326
"Allentown-Bethlehem-Easton, PA-NJ",msa,0.3558139535,0.6674418605,0.2790697674,0.5186046512,0.2906976744,0.511627907,0.9139534884,834615,4,10900,0.4744186047
"Altoona, PA",msa,0.1186046512,0.01395348837,0.5046511628,0.6627906977,0.1976744186,0.8837209302,0.6,123842,1,11020,0.3302325581
"Amarillo, TX",msa,0.5046511628,0.7604651163,0.6302325581,0.4790697674,0.688372093,0.4860465116,0.3325581395,263412,5,11100,0.576744186
"Ames, IA",msa,0.08372093023,0.2418604651,0.02558139535,0.1162790698,0.5930232558,0.6046511628,0.3209302326,123321,2,11180,0.09534883721
"Anchorage, AK",msa,0.5162790698,0.7209302326,0.6674418605,0.07209302326,0.08372093023,0.03023255814,0.1720930233,399576,2,11260,0.1465116279
