Alabama,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Alaska,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Arizona,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Arkansas,Social Distancing,,Closed Schools,Closed Bars/Restaurants
California,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Colorado,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Connecticut,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Delaware,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Florida,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Georgia,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Hawaii,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Idaho,Shelter in Place,Stay At Home,,
Illinois,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Indiana,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Iowa,No Action,,,Closed Bars/Restaurants
Kansas,No Action,,,Closed Bars/Restaurants
Kentucky,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Louisiana,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Maine,No Action,,,Closed Bars/Restaurants
Maryland,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Massachusetts,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Michigan,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Minnesota,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Mississippi,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Missouri,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Montana,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Nebraska,No Action,,,Closed Bars/Restaurants
Nevada,Social Distancing,,Closed Schools,Closed Bars/Restaurants
New Hampshire,Social Distancing,,Closed Schools,Closed Bars/Restaurants
New Jersey,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
New Mexico,Social Distancing,,Closed Schools,Closed Bars/Restaurants
New York,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
North Carolina,Social Distancing,,Closed Schools,Closed Bars/Restaurants
North Dakota,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Ohio,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Oklahoma,No Action,,Closed Schools,
Oregon,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Pennsylvania,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Rhode Island,Social Distancing,,Closed Schools,Closed Bars/Restaurants
South Carolina,Social Distancing,,Closed Schools,Closed Bars/Restaurants
South Dakota,No Action,,Closed Schools,
Tennessee ,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Texas,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Utah,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Vermont,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Virginia,Social Distancing,,Closed Schools,Closed Bars/Restaurants
Washington,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
West Virginia,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Wisconsin,Shelter in Place,Stay At Home,Closed Schools,Closed Bars/Restaurants
Wyoming,Social Distancing,,Closed Schools,Closed Bars/Restaurants
