fipsCode,metroName,avgCost,avgRangeMinCost,avgRangeMaxCost,minCost,maxCost,numCostProfiles
10420,"Akron metro area",4874,3258,6548,0,8440,57
10540,"Albany metro area",3599,3350,4100,2100,5000,4
10580,"Albany metro area",3656,2754,4648,0,6000,63
10740,"Albuquerque metro area",4024,2205,6030,0,9000,61
10900,"Allentown metro area",5539,3797,7903,900,12360,34
11260,"Anchorage metro area",5465,3983,7194,0,9640,13
11460,"Ann Arbor metro area",4538,2977,6099,0,7800,28
11700,"Asheville metro area",3787,2983,5395,0,5650,9
12060,"Atlanta metro area",3570,2009,5231,900,7000,258
12100,"Atlantic City metro area",5186,3378,7716,0,9200,12
12260,"Augusta metro area",6400,5450,7350,0,7350,4
12420,"Austin metro area",3127,1867,4387,900,5300,19
12580,"Baltimore metro area",4817,3264,7016,900,10085,157
12700,"Barnstable Town metro area",3640,1120,6160,0,7500,10
12940,"Baton Rouge metro area",3250,1416,6000,0,6100,5
13380,"Bellingham metro area",2883,2460,3516,1800,3900,6
13780,"Binghamton metro area",5325,3325,7825,0,9000,9
13820,"Birmingham metro area",3265,2153,4479,800,6000,25
14260,"Boise City metro area",5183,3395,7050,0,10500,47
14460,"Boston metro area",5740,3507,8139,0,12000,307
14500,"Boulder metro area",5193,3064,7664,0,12000,54
14740,"Bremerton metro area",5376,2523,8800,0,11000,11
14860,"Bridgeport metro area",4627,3258,6338,0,8350,54
15380,"Buffalo metro area",3735,2487,4983,0,8000,62
15540,"Burlington metro area",3410,2024,4796,0,5920,8
15680,"California metro area",1050,900,1350,900,1500,4
15940,"Canton metro area",3574,2947,4471,0,5000,17
16580,"Champaign metro area",6138,4130,9151,0,9852,5
16700,"Charleston metro area",5535,4720,6350,2500,14000,26
16740,"Charlotte metro area",5416,3520,7463,0,13049,52
16980,"Chicago metro area",3798,2392,5328,725,7850,686
17140,"Cincinnati metro area",4345,2332,6584,400,9400,93
17460,"Cleveland metro area",4279,2634,5925,0,8000,136
17660,"Coeur d'Alene metro area",3560,1650,5471,0,7168,12
17820,"Colorado Springs metro area",4681,3177,6377,0,9500,100
17900,"Columbia metro area",7758,5498,11149,2209,16000,6
18140,"Columbus metro area",4098,2316,6038,1100,8500,100
18880,"Crestview metro area",3575,350,6800,0,9600,4
19100,"Dallas metro area",3553,1791,5355,400,9000,97
19740,"Denver metro area",4469,2857,6357,1300,9800,511
19780,"Des Moines metro area",5206,4015,6994,0,7900,10
19820,"Detroit metro area",4155,2905,5683,450,7500,301
20100,"Dover metro area",5948,4722,8401,1400,10700,10
20260,"Duluth metro area",4930,3180,7117,0,9200,9
20500,"Durham metro area",3717,2314,5121,900,5700,7
20700,"East Stroudsburg metro area",5854,4385,7322,900,11250,13
21140,"Elkhart metro area",5854,5254,6454,0,7000,6
21340,"El Paso metro area",1401,790,2274,0,6500,17
21660,"Eugene metro area",7621,6389,9161,0,10000,9
21780,"Evansville metro area",5285,2821,7750,0,9200,4
22220,"Fayetteville metro area",5485,3400,8266,0,10000,7
22420,"Flint metro area",2530,1501,3560,0,4000,10
22660,"Fort Collins metro area",4389,2746,6205,525,8995,41
23060,"Fort Wayne metro area",5694,4965,6787,0,7500,5
23420,"Fresno metro area",3424,933,5916,0,10949,6
23580,"Gainesville metro area",4905,3976,5834,3200,6900,9
23900,"Gettysburg metro area",4111,2676,5546,0,6500,8
24300,"Grand Junction metro area",4970,4212,8000,0,8000,5
24340,"Grand Rapids metro area",3725,2179,5271,0,7500,50
24540,"Greeley metro area",3799,1637,6202,0,9997,19
24580,"Green Bay metro area",2566,1420,4000,0,6400,9
24660,"Greensboro metro area",4023,2350,5696,0,8700,14
24860,"Greenville metro area",4873,2788,7218,0,9749,17
25420,"Harrisburg metro area",4446,2103,7002,0,8200,23
25540,"Hartford metro area",5390,3731,7094,0,9000,75
26420,"Houston metro area",4805,2547,7065,900,10500,82
26620,"Huntsville metro area",3562,2585,4783,900,5000,11
26900,"Indianapolis metro area",4222,2622,5875,1000,7830,102
27260,"Jacksonville metro area",3700,2833,5000,0,5000,5
28020,"Kalamazoo metro area",4308,2948,5668,0,6000,4
28100,"Kankakee metro area",4807,3423,6652,0,8457,7
28140,"Kansas City metro area",4208,2575,6040,605,9000,105
28660,"Killeen metro area",4350,4350,4350,900,5500,4
28740,"Kingston metro area",4784,3185,6650,0,7500,13
28940,"Knoxville metro area",3173,2029,5004,0,5400,13
29420,"Lake Havasu City metro area",5550,5550,5550,0,6000,4
29540,"Lancaster metro area",4481,3137,5947,0,7500,23
29620,"Lansing metro area",4054,2686,5422,0,7650,40
29820,"Las Vegas metro area",4978,3152,6803,0,8062,24
30140,"Lebanon metro area",6462,5450,7475,0,7750,4
30460,"Lexington metro area",3842,2125,6133,0,6800,7
30780,"Little Rock metro area",8240,6633,10650,0,12000,5
31080,"Los Angeles metro area",4978,3020,7083,1400,15000,330
31140,"Louisville/Jefferson County metro area",3500,2139,5234,1000,8145,26
31540,"Madison metro area",3265,2637,3949,0,5000,23
31700,"Manchester metro area",5280,3454,7535,0,10500,76
32820,"Memphis metro area",4683,2297,7240,900,14000,30
33340,"Milwaukee metro area",4074,2580,5610,0,7500,73
33460,"Minneapolis metro area",4884,3255,6513,0,9000,328
34060,"Morgantown metro area",4963,3141,6785,0,6800,4
34580,"Mount Vernon metro area",5148,1864,8433,0,10000,6
34740,"Muskegon metro area",2419,1666,3547,0,5000,5
34820,"Myrtle Beach metro area",3278,1899,6035,149,6500,6
34980,"Nashville metro area",3810,2401,5219,1000,8000,41
35300,"New Haven metro area",5184,3623,7122,0,9000,65
35380,"New Orleans metro area",5410,2933,8507,0,12000,9
35620,"New York City metro area",5259,3446,7311,1000,10300,661
36140,"Ocean City metro area",5483,4109,7200,0,9000,9
36260,"Ogden metro area",3892,2310,5474,0,10000,26
36420,"Oklahoma City metro area",4071,2584,5908,400,7000,39
36500,"Olympia metro area",5374,3494,7568,0,8780,13
36540,"Omaha metro area",3693,2137,5250,0,7502,16
36740,"Orlando metro area",4281,3228,5684,134,7500,9
37100,"Oxnard metro area",3952,2090,5912,1000,11000,40
37900,"Peoria metro area",3868,2616,5122,2000,7000,9
37980,"Philadelphia metro area",5796,3649,7952,1500,11000,437
38060,"Phoenix metro area",4301,2204,6680,500,9583,20
38300,"Pittsburgh metro area",4428,2791,6064,1000,8552,145
