fipsCode,metroName,avgCost,avgRangeMinCost,avgRangeMaxCost,minCost,maxCost,numCostProfiles
10540,"Albany metro area",4433,3600,5266,3000,6000,6
10740,"Albuquerque metro area",7777,7055,8861,6300,10000,5
10900,"Allentown metro area",6498,4814,8281,2000,11500,35
11700,"Asheville metro area",6707,5542,8066,4100,9600,13
12020,"Athens metro area",6700,6700,6700,6000,7000,5
12060,"Atlanta metro area",4050,3118,5163,1400,7000,114
12260,"Augusta metro area",5081,4269,6056,3500,7000,11
12420,"Austin metro area",7127,5574,8680,3196,11000,22
12580,"Baltimore metro area",5513,4082,6944,1500,9677,174
13460,"Bend metro area",5166,4092,6884,3000,10000,13
13820,"Birmingham metro area",4251,2999,5660,1200,7100,34
14260,"Boise City metro area",4983,4505,5941,3350,6000,6
14460,"Boston metro area",6810,3901,9805,1100,15000,69
14740,"Bremerton metro area",9208,7399,11380,5800,12000,11
14860,"Bridgeport metro area",6219,5125,7969,4000,10649,13
15260,"Brunswick metro area",4450,3700,5200,3600,5400,4
15680,"California metro area",5622,5367,6515,4500,6830,9
15980,"Cape Coral metro area",2710,1784,4100,750,4200,5
16540,"Chambersburg metro area",5414,4149,7101,2000,8605,7
16700,"Charleston metro area",5423,4328,6849,3500,9000,76
16740,"Charlotte metro area",5026,3926,6836,1100,9000,45
16820,"Charlottesville metro area",6150,5275,7200,4000,8400,11
16860,"Chattanooga metro area",3912,3500,4325,3500,4450,4
17140,"Cincinnati metro area",5942,4753,7462,1800,9960,41
17460,"Cleveland metro area",4039,1999,6488,500,7000,11
17900,"Columbia metro area",5806,4591,7173,3500,8000,17
18140,"Columbus metro area",5687,4360,7014,3742,9500,16
18880,"Crestview metro area",4113,3625,5091,1500,6000,9
19100,"Dallas metro area",6251,4548,8805,1000,12000,95
19300,"Daphne metro area",7208,5116,9300,2600,10000,6
19460,"Decatur metro area",6005,5342,7000,4744,7000,5
19660,"Deltona metro area",3631,2516,4886,700,6500,17
19740,"Denver metro area",6008,3198,9380,1500,14631,11
20500,"Durham metro area",6614,4619,9107,1500,11000,9
20700,"East Stroudsburg metro area",6183,5066,7580,4200,9800,18
21660,"Eugene metro area",5855,4436,7275,3000,9000,20
22180,"Fayetteville metro area",6521,5316,8127,4500,8681,7
22500,"Florence metro area",5880,5500,7400,5000,7400,5
23580,"Gainesville metro area",3576,2450,4890,1200,6275,13
24660,"Greensboro metro area",5118,4500,6107,3500,7000,26
24860,"Greenville metro area",6347,5196,7497,4100,10700,38
25180,"Hagerstown metro area",5336,3450,8165,1850,9900,5
25420,"Harrisburg metro area",6250,5186,7314,4200,9020,30
25540,"Hartford metro area",7137,5610,8665,4006,11000,12
25860,"Hickory metro area",4558,4241,6460,2500,6460,7
25940,"Hilton Head Island metro area",5797,4766,6828,4000,8125,16
26140,"Homosassa Springs metro area",4512,4125,4900,4000,5000,4
26420,"Houston metro area",5317,3813,7072,2300,8000,13
26580,"Huntington metro area",9531,6603,16850,5000,18900,7
26620,"Huntsville metro area",5997,4666,7329,4000,9000,22
26900,"Indianapolis metro area",5293,3983,6604,2500,7801,36
27260,"Jacksonville metro area",5552,4170,7122,1000,9000,47
28140,"Kansas City metro area",4937,3832,6181,2500,7089,17
28420,"Kennewick metro area",4175,2550,6342,1500,7776,7
28700,"Kingsport metro area",2788,1326,4250,1200,4500,4
28940,"Knoxville metro area",4865,4001,5929,1200,6500,29
29420,"Lake Havasu City metro area",7140,5920,8360,4500,8636,6
29460,"Lakeland metro area",5345,4429,6260,4000,8600,12
29540,"Lancaster metro area",5832,4505,7325,1500,9200,17
29820,"Las Vegas metro area",5110,3553,6668,2000,9000,18
30460,"Lexington metro area",5403,4075,6921,2500,8450,15
31080,"Los Angeles metro area",5227,3149,7453,2000,10000,29
31140,"Louisville/Jefferson County metro area",5033,4237,5987,3492,8000,11
31340,"Lynchburg metro area",4748,3708,6048,1500,7065,9
31420,"Macon metro area",3866,3533,4200,3500,4500,6
31700,"Manchester metro area",7272,6400,9454,6000,11708,7
32780,"Medford metro area",5137,4641,5758,4000,7000,9
33100,"Miami metro area",3323,2155,4492,280,6350,12
33460,"Minneapolis metro area",5081,3812,6350,3000,7786,6
33660,"Mobile metro area",3714,3066,4361,1500,4710,6
33860,"Montgomery metro area",6071,5150,6993,4000,9400,8
34820,"Myrtle Beach metro area",5184,3789,6753,1000,8875,51
34980,"Nashville metro area",5039,3609,6470,1000,8000,42
35300,"New Haven metro area",8087,5800,10375,5000,15000,8
35620,"New York City metro area",5503,3235,7772,1371,10600,54
35840,"North Port metro area",5525,4342,6708,2498,8900,30
36100,"Ocala metro area",3701,1866,5536,350,7000,18
36420,"Oklahoma City metro area",5008,3771,6245,2750,8800,20
36540,"Omaha metro area",5567,4750,6385,4500,6950,4
36740,"Orlando metro area",4908,3748,6193,1500,7999,59
37340,"Palm Bay metro area",5179,3667,6879,2000,8370,17
37860,"Pensacola metro area",4816,3115,6687,1300,8000,21
37980,"Philadelphia metro area",6137,4335,7966,2000,11000,131
38060,"Phoenix metro area",5883,4705,7147,2500,10000,170
38300,"Pittsburgh metro area",5405,4091,6883,1900,8000,17
38860,"Portland metro area",3760,2008,5513,1000,6300,12
38900,"Portland metro area",6421,4559,8330,2804,11300,79
38940,"Port St. Lucie metro area",4339,3830,4976,3200,5300,9
39300,"Providence metro area",6584,5419,8039,4999,8857,9
39460,"Punta Gorda metro area",3487,3000,3975,3000,4400,4
39580,"Raleigh metro area",5981,4567,7462,3000,10000,43
39740,"Reading metro area",6998,6060,8170,5000,8832,9
40060,"Richmond metro area",5645,4326,6997,3000,10599,81
40140,"Riverside metro area",5200,4766,5633,4500,6100,6
