fipsCode,metroName,avgCost,avgRangeMinCost,avgRangeMaxCost,minCost,maxCost,numCostProfiles
10420,"Akron metro area",972,758,1283,0,4000,91
10540,"Albany metro area",778,565,991,0,1149,6
10580,"Albany metro area",1190,867,1549,0,2500,145
10740,"Albuquerque metro area",1228,872,1609,0,4000,115
10900,"Allentown metro area",1128,851,1447,0,3000,113
11260,"Anchorage metro area",2290,2010,2570,0,4250,5
11460,"Ann Arbor metro area",1075,748,1401,0,1800,19
11540,"Appleton metro area",669,405,933,0,1400,15
11700,"Asheville metro area",1246,723,1789,0,3082,49
12020,"Athens metro area",1325,1108,1541,0,1585,6
12060,"Atlanta metro area",1083,824,1360,0,4100,1079
12100,"Atlantic City metro area",1365,1129,1635,0,3900,16
12260,"Augusta metro area",1880,1030,3147,0,12500,20
12420,"Austin metro area",1333,890,1779,0,5500,279
12540,"Bakersfield metro area",1251,1074,1427,0,1550,9
12580,"Baltimore metro area",1117,826,1469,0,4000,272
12700,"Barnstable Town metro area",1559,1104,2036,0,4500,35
12940,"Baton Rouge metro area",1163,823,1527,0,2294,30
13140,"Beaumont metro area",1000,750,1250,0,1400,4
13380,"Bellingham metro area",1166,1075,1257,0,1302,4
13460,"Bend metro area",780,521,1040,0,3275,9
13740,"Billings metro area",1554,1294,1813,0,4500,18
13780,"Binghamton metro area",918,603,1312,0,1850,9
13820,"Birmingham metro area",1019,709,1327,0,1800,94
14260,"Boise City metro area",1809,1443,2219,200,48000,65
14460,"Boston metro area",1393,993,1845,0,5000,769
14500,"Boulder metro area",1326,1049,1678,600,6000,66
14740,"Bremerton metro area",1102,702,1502,0,1900,14
14860,"Bridgeport metro area",1306,981,1664,0,3620,142
15380,"Buffalo metro area",1326,1097,1583,0,4050,67
15680,"California metro area",1048,700,1446,0,1800,15
15940,"Canton metro area",1565,1446,1722,0,26000,36
15980,"Cape Coral metro area",906,765,1062,323,4600,206
16540,"Chambersburg metro area",918,754,1081,0,1500,6
16700,"Charleston metro area",1629,1241,2095,0,3228,51
16740,"Charlotte metro area",1147,803,1519,0,5600,465
16820,"Charlottesville metro area",706,318,1095,0,1400,15
16860,"Chattanooga metro area",841,655,1080,0,2700,19
16980,"Chicago metro area",1038,769,1314,0,4000,925
17020,"Chico metro area",1338,1116,1616,0,1917,9
17140,"Cincinnati metro area",1052,721,1397,0,4000,186
17300,"Clarksville metro area",1854,1576,2202,0,12574,10
17460,"Cleveland metro area",1042,788,1297,0,3163,184
17660,"Coeur d'Alene metro area",1781,1066,2697,0,3600,12
17780,"College Station metro area",1140,909,1371,0,1956,10
17820,"Colorado Springs metro area",1106,873,1343,0,4000,123
17900,"Columbia metro area",1304,874,1826,0,5700,44
18140,"Columbus metro area",1112,722,1515,0,4200,191
18580,"Corpus Christi metro area",1254,1040,1574,0,1650,5
18700,"Corvallis metro area",730,415,1151,0,1600,7
18880,"Crestview metro area",795,655,977,0,1200,17
19100,"Dallas metro area",1357,964,1760,450,5300,817
19300,"Daphne metro area",719,520,918,0,1000,12
19340,"Davenport metro area",2447,2388,2557,0,25000,15
19460,"Decatur metro area",819,422,1315,0,1750,9
19660,"Deltona metro area",783,572,997,0,1500,83
19740,"Denver metro area",1441,1005,1887,500,20000,678
19780,"Des Moines metro area",776,542,1049,0,1500,40
19820,"Detroit metro area",953,734,1181,0,4200,428
20100,"Dover metro area",976,794,1233,0,2500,13
20500,"Durham metro area",1255,803,1757,0,2250,49
20700,"East Stroudsburg metro area",807,629,1055,0,1500,32
21140,"Elkhart metro area",1016,889,1185,0,1600,8
21340,"El Paso metro area",925,539,1311,0,3104,18
21500,"Erie metro area",953,854,1077,0,1360,9
21660,"Eugene metro area",735,600,871,0,997,4
