fipsCode,stateCode,stateName,avgCost,avgRangeMinCost,avgRangeMaxCost,minCost,maxCost,numCostProfiles
10,DE,Delaware,5948,4722,8401,1400,10700,10
11,DC,"District of Columbia",5437,3593,7298,1500,10000,364
12,FL,Florida,3968,2799,5330,1364,7027,40
13,GA,Georgia,3697,2220,5275,1141,6941,285
16,ID,Idaho,4742,3117,6449,1324,9397,67
17,IL,Illinois,3803,2423,5312,1161,7742,732
18,IN,Indiana,4191,2880,5574,1528,7380,149
19,IA,Iowa,5182,4408,6286,0,6789,18
20,KS,Kansas,3321,2504,4301,0,4957,14
21,KY,Kentucky,3540,2401,5013,1521,6896,42
22,LA,Louisiana,3875,2219,6065,0,7746,19
23,ME,Maine,5320,3601,7611,0,9464,17
24,MD,Maryland,4799,3281,6879,1037,9896,182
25,MA,Massachusetts,5591,3415,7961,0,11612,382
26,MI,Michigan,4026,2783,5454,450,7189,470
27,MN,Minnesota,4850,3256,6462,0,8876,352
29,MO,Missouri,4306,2688,6153,960,8666,210
30,MT,Montana,2676,1891,3461,0,4072,6
31,NE,Nebraska,3589,2194,5068,0,6964,19
32,NV,Nevada,4318,2744,5967,0,6914,38
33,NH,"New Hampshire",5182,3493,7235,0,9820,110
34,NJ,"New Jersey",5416,3503,7643,0,10775,52
35,NM,"New Mexico",3837,2309,5530,0,8070,81
36,NY,"New York",4835,3255,6606,1000,9226,947
37,NC,"North Carolina",5305,3513,7294,1329,12296,135
39,OH,Ohio,4360,2698,6135,1212,8252,466
40,OK,Oklahoma,4028,2568,5744,896,7142,53
41,OR,Oregon,4775,3452,6216,1813,8650,193
42,PA,Pennsylvania,5324,3415,7294,1431,10022,756
44,RI,"Rhode Island",4811,2872,6750,900,10000,103
45,SC,"South Carolina",5499,4098,7248,2114,8964,56
46,SD,"South Dakota",5750,3532,8661,0,9540,10
47,TN,Tennessee,4001,2378,5777,1140,9341,92
48,TX,Texas,4107,2436,5830,1231,8870,248
49,UT,Utah,4247,2653,6036,566,11116,109
50,VT,Vermont,3338,2229,4447,0,5346,10
51,VA,Virginia,5494,3628,7782,1128,10449,109
53,WA,Washington,4157,2584,5798,1305,9647,411
54,WV,"West Virginia",5292,4466,6338,2392,6833,12
55,WI,Wisconsin,3800,2610,5060,0,6571,130
56,WY,Wyoming,1895,1895,1895,0,1895,5
01,AL,Alabama,4863,3899,5957,2765,7237,40
02,AK,Alaska,5465,3983,7194,0,9640,13
04,AZ,Arizona,3867,2254,5583,1002,7630,55
05,AR,Arkansas,6278,4661,8528,1000,10561,14
06,CA,California,4805,2950,6820,1340,10615,1227
08,CO,Colorado,4513,2888,6410,1308,9768,743
09,CT,Connecticut,5114,3496,7006,0,8919,212
