fipsCode,stateCode,stateName,avgCost,avgRangeMinCost,avgRangeMaxCost,minCost,maxCost,numCostProfiles
11,DC,"District of Columbia",5650,4339,6983,2000,9400,365
12,FL,Florida,4879,3748,6169,1712,7775,370
13,GA,Georgia,4431,3587,5427,2348,7043,195
16,ID,Idaho,5423,5064,6141,4198,6186,8
17,IL,Illinois,4093,3156,5031,3156,5031,5
18,IN,Indiana,5940,4892,6989,3705,7946,45
21,KY,Kentucky,5279,4254,6467,3118,8076,28
22,LA,Louisiana,12574,12385,12763,12385,12763,8
23,ME,Maine,3648,2213,5083,1406,5713,15
24,MD,Maryland,5556,4255,6926,2137,9349,238
25,MA,Massachusetts,6855,4035,9796,1293,14423,89
27,MN,Minnesota,5229,4277,6181,3668,7258,8
28,MS,Mississippi,6762,6523,7000,6523,7000,5
29,MO,Missouri,5225,4245,6763,3170,7880,39
31,NE,Nebraska,5567,4750,6385,4500,6950,4
32,NV,Nevada,5068,3592,6543,2121,8752,19
33,NH,"New Hampshire",6509,5615,8532,5399,9746,13
35,NM,"New Mexico",7464,7063,8066,6643,8699,9
36,NY,"New York",5748,3470,8027,1988,10272,68
37,NC,"North Carolina",5614,4612,6939,3180,8703,235
39,OH,Ohio,5735,4590,7125,2644,8969,89
40,OK,Oklahoma,5193,4157,6272,3294,8237,26
41,OR,Oregon,5988,4475,7612,3051,9956,142
42,PA,Pennsylvania,6318,4870,7896,2878,10250,294
44,RI,"Rhode Island",6584,5419,8039,4999,8857,9
45,SC,"South Carolina",5651,4518,7001,3181,8989,218
47,TN,Tennessee,4974,3861,6219,1707,7105,94
48,TX,Texas,6585,5077,8542,2266,11404,203
49,UT,Utah,5757,5301,6214,4831,6271,7
51,VA,Virginia,5993,4582,7530,2754,9965,240
53,WA,Washington,8325,6159,10588,3694,14453,169
54,WV,"West Virginia",7751,5993,12120,5008,13316,12
01,AL,Alabama,5278,4131,6505,2837,7784,87
04,AZ,Arizona,6186,4886,7565,2565,10436,214
05,AR,Arkansas,6056,5392,6860,5332,6860,10
06,CA,California,6430,4746,8251,2371,10740,116
08,CO,Colorado,5427,3273,7993,2027,11843,15
09,CT,Connecticut,7006,5465,8805,4244,11831,33
