fipsCode,stateCode,stateName,avgCost,avgRangeMinCost,avgRangeMaxCost,minCost,maxCost,numCostProfiles
10,DE,Delaware,976,794,1233,0,2500,13
11,DC,"District of Columbia",1347,934,1772,0,4400,864
12,FL,Florida,937,706,1181,305,6451,2482
13,GA,Georgia,1092,826,1383,0,4057,1174
15,HI,Hawaii,1793,1380,2207,681,5553,45
16,ID,Idaho,1710,1324,2156,403,48000,89
17,IL,Illinois,1028,763,1299,0,3904,961
18,IN,Indiana,1181,821,1566,373,6451,293
19,IA,Iowa,1172,1012,1368,0,12552,72
20,KS,Kansas,1026,826,1308,0,2701,74
21,KY,Kentucky,1047,854,1240,0,4900,77
22,LA,Louisiana,963,738,1214,0,1881,171
23,ME,Maine,794,651,1019,0,1195,31
24,MD,Maryland,1164,860,1524,0,3889,360
25,MA,Massachusetts,1375,991,1808,0,4726,999
26,MI,Michigan,982,754,1223,0,3931,627
27,MN,Minnesota,1097,761,1436,0,4527,484
28,MS,Mississippi,703,572,869,0,968,21
29,MO,Missouri,1007,762,1272,363,2723,511
30,MT,Montana,1670,1434,1940,0,4040,23
31,NE,Nebraska,1119,955,1319,0,2000,84
32,NV,Nevada,1295,931,1684,0,5404,328
33,NH,"New Hampshire",1703,1272,2171,0,2729,119
34,NJ,"New Jersey",1268,1019,1598,0,2582,73
35,NM,"New Mexico",1267,937,1629,0,3751,143
36,NY,"New York",1244,922,1572,488,4000,1964
37,NC,"North Carolina",1201,848,1592,0,4296,969
38,ND,"North Dakota",991,946,1081,0,1350,4
39,OH,Ohio,1068,790,1368,0,3867,880
40,OK,Oklahoma,1267,881,1676,0,4360,190
41,OR,Oregon,1187,887,1498,0,4053,377
42,PA,Pennsylvania,1036,770,1320,395,3565,1324
44,RI,"Rhode Island",1128,766,1501,0,5000,197
45,SC,"South Carolina",1268,941,1651,0,3649,321
46,SD,"South Dakota",1409,1043,1958,0,2583,6
47,TN,Tennessee,1225,877,1592,0,4223,283
48,TX,Texas,1309,936,1695,450,5125,2254
49,UT,Utah,1419,1045,1834,0,5121,244
50,VT,Vermont,2875,2612,3400,0,3400,4
51,VA,Virginia,1191,829,1579,334,5000,304
53,WA,Washington,1462,1061,1879,0,5469,727
54,WV,"West Virginia",811,702,952,0,1217,13
55,WI,Wisconsin,987,768,1235,0,3132,540
01,AL,Alabama,974,687,1273,0,2618,183
02,AK,Alaska,2290,2010,2570,0,4250,5
04,AZ,Arizona,1039,727,1375,333,5420,753
05,AR,Arkansas,1127,827,1522,0,2437,53
06,CA,California,1434,1037,1863,405,4589,2723
08,CO,Colorado,1412,1028,1816,506,19333,976
09,CT,Connecticut,1191,870,1535,0,3521,404
